Record_ID,Month,Week,Agent_ID,Agent_Name,Team_Leader_ID,Team_Leader_Name,Region,Loan_Type,DPD_Bucket,Total_Calls_Made,Customers_Contacted,EMI_Due_Amount,EMI_Collected_Amount,Target_Amount,Achievement_%,Collection_Status
REC0001,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,1-30 DPD,114,76,8400,0,210000,1.9,Unknown
REC0002,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,90+ DPD,93,78,18400,1900,204000,0.93,Partially Collected
REC0003,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Gold Loan,31-60 DPD,116,79,12800,5100,185000,2.76,Dispute Raised
REC0004,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Auto Loan,1-30 DPD,118,91,14700,8100,217000,3.73,Partially Collected
REC0005,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,X (Current),93,72,11800,7000,208000,3.37,Promise to Pay
REC0006,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Home Loan,X (Current),87,59,26900,16100,191000,8.43,Partially Collected
REC0007,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,X (Current),107,72,19900,12700,180000,7.06,Promise to Pay
REC0008,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Home Loan,61-90 DPD,118,84,21800,4900,181000,2.71,Partially Collected
REC0009,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,31-60 DPD,96,72,5800,2200,222000,0.99,Partially Collected
REC0010,Jan-2024,Week 1,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Business Loan,31-60 DPD,117,89,22400,0,221000,3.48,Partially Collected
REC0011,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Gold Loan,X (Current),95,76,11400,8300,237000,3.5,Promise to Pay
REC0012,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Business Loan,90+ DPD,92,69,5000,4700,190000,2.47,Partially Collected
REC0013,Jan-2024,Week 1,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,61-90 DPD,106,79,23400,6300,195000,3.23,Partially Collected
REC0014,Jan-2024,Week 4,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Gold Loan,X (Current),117,93,4000,2500,184000,1.36,Partially Collected
REC0015,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,X (Current),117,89,11900,8800,223000,3.95,Partially Collected
REC0016,Jan-2024,Week 4,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Auto Loan,X (Current),80,59,9100,6500,250000,2.6,Partially Collected
REC0017,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Gold Loan,X (Current),115,81,10000,7500,226000,3.32,Partially Collected
REC0018,Jan-2024,Week 4,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Auto Loan,1-30 DPD,85,66,8000,0,238000,1.97,Partially Collected
REC0019,Jan-2024,Week 1,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Home Loan,1-30 DPD,107,72,38900,20900,202000,10.35,Partially Collected
REC0020,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Business Loan,X (Current),91,75,5630,35000,182000,19.23,Partially Collected
REC0021,Jan-2024,Week 4,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,31-60 DPD,73,72,7900,3300,236000,1.4,Dispute Raised
REC0022,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Gold Loan,X (Current),91,69,14200,0,249000,3.41,Promise to Pay
REC0023,Jan-2024,Week 4,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,X (Current),103,75,3000,2200,246000,0.89,Partially Collected
REC0024,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Gold Loan,1-30 DPD,73,70,4500,2500,201000,1.24,Promise to Pay
REC0025,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Business Loan,1-30 DPD,85,69,42900,21300,233000,9.14,Unknown
REC0026,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Gold Loan,31-60 DPD,95,64,11300,4200,228000,1.84,Dispute Raised
REC0027,Jan-2024,Week 4,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,X (Current),108,83,5900,3900,230000,1.7,Promise to Pay
REC0028,Jan-2024,Week 4,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Gold Loan,1-30 DPD,98,68,10100,5000,204000,2.45,Partially Collected
REC0029,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,1-30 DPD,116,84,21300,10900,180000,6.06,Partially Collected
REC0030,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Home Loan,X (Current),105,83,24100,14100,239000,5.9,Promise to Pay
REC0031,Jan-2024,Week 1,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Home Loan,31-60 DPD,100,71,17600,6500,242000,2.69,Dispute Raised
REC0032,Jan-2024,Week 1,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,X (Current),81,62,19600,14600,197000,7.41,Partially Collected
REC0033,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Home Loan,X (Current),116,91,12000,7000,247000,2.83,Promise to Pay
REC0034,Jan-2024,Week 1,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Personal Loan,90+ DPD,84,63,10600,1100,204000,0.54,Dispute Raised
REC0035,Jan-2024,Week 4,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Auto Loan,90+ DPD,100,82,11400,1300,238000,0.55,Dispute Raised
REC0036,Jan-2024,Week 3,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Home Loan,61-90 DPD,115,74,37500,8800,246000,3.58,Dispute Raised
REC0037,Jan-2024,Week 4,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Home Loan,X (Current),110,83,33600,21300,204000,10.44,Promise to Pay
REC0038,Jan-2024,Week 2,AGT001,Amit Sharma,TL001,Rajesh Verma,Delhi,Home Loan,X (Current),86,70,16000,10600,201000,5.27,Promise to Pay
REC0039,Jan-2024,Week 1,AGT002,Priya Singh,TL001,Rajesh Verma,Delhi,Personal Loan,31-60 DPD,101,69,15600,6000,184000,3.26,Dispute Raised
